product_1,product_2,shared_ingredients_count,shared_ingredients,ingredient_group
Dream Skin Cream tube,Melano Perfume Body Splash Wicked in Secret 250ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_1
Dream Skin Cream tube,Melano Perfume Body Splash Very sexy Now 250ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_2
Dream Skin Cream tube,Melano Perfume Body Splash Pink Petal 250ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_3
Dream Skin Cream tube,Melano Perfume Body Splash Greetings 250ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_4
Dream Skin Cream tube,Melano Perfume Body Splash Folie 250ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_5
Dream Skin Cream tube,Melano Perfume Body Splash Cashmere 250ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_6
Dream Skin Cream tube,Melano papayatone Brightening cream 150ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_7
Dream Skin Cream tube,Melanotone black spot corrector soap 100g,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_8
Dream Skin Cream tube,Melanotone black spot corrector serum 60ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_9
Melano Perfume Body Splash Wicked in Secret 250ml,Melano Perfume Body Splash Very sexy Now 250ml,3,"cleanser & co-washconditionerhair maskhair treatment & relaxersleave instyling creamstyling gelrefresh, detangling & sprayhair & scalp conditionershair growth oilshair care concernshair care concernslow porosity hair caremedium porosity hair carehigh porosity hair caredamage repairfrizzy hairanti-dandruffingredientsingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhairhuman hairhuman hairhair extensionsclosureshuman hair wigssynthetic hairsynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your order, ingredientsavocado hair carejamaican black castor oil hair carecoconut hair caresulfate free hair caresilicone free hair carehoney hair carevegan hair careskin careskincare productsskincare productsbody lotionbody creamcleansersface & body serumface & body oilkids skin careskincare concernsskincare concernsbody brighteningbody lighteningbody whiteningacnes and pronesdark spots removermoisturizersskincare ingredientsskincare ingredientsahaaloe veraargan oilglycolic acidhyaluronic acidlactic acidhairhuman hairhair extensionsclosureshuman hair wigssynthetic hairbraidscrochets & dreadlocksbulks & weaveswigskidshair careskin caremake upbest dealsaccessoriessalon servicestrack your orderloginclosehomeshop allbrandshair carehair carehair care productshair care productsshampoo",Group_10
